GMT Time,Latitude,Longitude,Duration,DOP,Satellites
1/28/2016 13:06,30.8174238,-93.3814753,41,1.2,7
1/28/2016 14:06,30.8173371,-93.3814857,4,1.6,6
1/28/2016 15:06,30.817436,-93.3814299,7,2.6,5
1/28/2016 16:06,30.8172922,-93.381536,42,2.2,5
1/28/2016 17:06,30.8174414,-93.3821211,21,2.4,5
1/28/2016 18:06,30.816824,-93.380549,36,3.4,4
1/28/2016 19:06,30.8173873,-93.3812746,45,3.2,5
1/28/2016 20:06,30.8172533,-93.3806509,10,3.4,4
1/28/2016 21:06,30.8173885,-93.3815207,12,2.6,4
1/28/2016 22:06,30.817116,-93.3813849,51,1.2,5
1/28/2016 23:06,30.8174459,-93.3816675,9,2,4
