GMT Time,Latitude,Longitude,Duration,DOP,Satellites
1/28/2016 1:00,31.306913,-92.6894114,38,2.6,5
1/28/2016 2:00,31.3070005,-92.6894093,8,2.6,4
1/28/2016 3:00,31.3068774,-92.6894335,10,4.2,4
1/28/2016 4:00,31.3069105,-92.689306,40,1.2,7
1/28/2016 5:00,31.3069708,-92.6895041,9,1.8,5
1/28/2016 6:00,31.3070313,-92.6894578,9,3.4,5
1/28/2016 7:01,31.307054,-92.6892709,68,2.8,4
1/28/2016 8:00,31.3070264,-92.6892599,39,1,7
1/28/2016 9:00,31.3069219,-92.689274,4,2.6,6
1/28/2016 10:00,31.3069808,-92.6892769,41,1.2,6
1/28/2016 11:00,31.3070639,-92.6893124,4,1.6,6
1/28/2016 11:59,31.3070675,-92.6893662,2,3.2,4
